Year_Record|State_Code|County_Code|F_System|Urban_Code|Ownership|RMC_L_System_Length
2021|54|1|6|99999|1|76.014
2021|54|1|7|99999|1|102.4
2021|54|3|6|99999|1|8.422
2021|54|3|7|99999|1|32.793
2021|54|5|6|99999|1|38.27
2021|54|5|7|99999|1|95.375
2021|54|7|7|99999|1|162.123
2021|54|9|6|99999|1|4.425
2021|54|9|7|99999|1|33.538
2021|54|11|6|99999|1|11.125
2021|54|11|7|99999|1|82.056
2021|54|13|6|99999|1|29.72
2021|54|13|7|99999|1|86.96
2021|54|15|7|99999|1|129.37
2021|54|17|7|99999|1|130.872
2021|54|19|6|99999|1|109.722
2021|54|19|7|99999|1|195.311
2021|54|19|7|99999|4|0.37
2021|54|21|6|99999|1|53.96
2021|54|21|7|99999|1|102.19
2021|54|23|6|99999|1|67.74
2021|54|23|7|99999|1|95.97
2021|54|25|6|99999|1|109.988
2021|54|25|7|99999|1|152.15
2021|54|27|6|99999|1|79.28
2021|54|27|7|99999|1|158.435
2021|54|29|6|99999|1|3.891
2021|54|29|7|99999|1|35.463
2021|54|29|7|99999|4|0.012
2021|54|31|6|99999|1|20.0
2021|54|31|7|99999|1|144.87
2021|54|33|6|99998|1|0.035
2021|54|33|6|99999|1|37.131
2021|54|33|7|99999|1|116.522
2021|54|35|6|99999|1|35.93
2021|54|35|7|99999|1|108.154
2021|54|37|6|99999|1|8.22
2021|54|37|7|99999|1|66.747
2021|54|37|7|99999|4|0.13
2021|54|39|6|99999|1|46.67
2021|54|39|7|99999|1|113.023
2021|54|41|6|99999|1|27.577
2021|54|41|7|99999|1|112.866
2021|54|43|6|99999|1|38.435
2021|54|43|7|99999|1|110.003
2021|54|45|6|99999|1|12.431
2021|54|45|7|99999|1|97.66
2021|54|47|6|99999|1|18.225
2021|54|47|7|99999|1|149.8
2021|54|49|6|99999|1|54.415
2021|54|49|7|99999|1|76.337
2021|54|49|7|99999|4|0.022
2021|54|51|6|99999|1|2.515
2021|54|51|7|99999|1|120.509
2021|54|53|6|99999|1|5.517
2021|54|53|7|99999|1|123.182
2021|54|55|6|99999|1|11.602
2021|54|55|7|99999|1|128.26
2021|54|57|6|99999|1|50.139
2021|54|57|7|99999|1|93.745
2021|54|59|7|99999|1|130.632
2021|54|61|6|99999|1|23.352
2021|54|61|7|99999|1|103.187
2021|54|63|6|99999|1|11.31
2021|54|63|7|99999|1|80.86
2021|54|65|7|99999|1|57.07
2021|54|67|6|99999|1|41.22
2021|54|67|7|99999|1|136.675
2021|54|69|6|94726|1|0.008
2021|54|69|7|99999|1|52.683
2021|54|71|6|99999|1|142.44
2021|54|71|7|99999|1|104.16
2021|54|71|7|99999|4|0.24
2021|54|73|7|99999|1|39.07
2021|54|75|6|99999|1|66.806
2021|54|75|7|99999|1|150.364
2021|54|75|7|99999|4|0.21
2021|54|77|6|99999|1|129.544
2021|54|77|7|99999|1|126.166
2021|54|77|7|99999|4|0.6
2021|54|79|6|99999|1|1.389
2021|54|79|7|99999|1|89.271
2021|54|81|6|99999|1|23.284
2021|54|81|7|06139|1|0.613
2021|54|81|7|99999|1|138.705
2021|54|83|6|99999|1|84.703
2021|54|83|7|99999|1|110.863
2021|54|85|7|99999|1|191.82
2021|54|87|6|99999|1|40.88
2021|54|87|7|99999|1|159.03
2021|54|89|6|99999|1|77.16
2021|54|89|7|99999|1|32.72
2021|54|91|6|99999|1|69.695
2021|54|91|7|99999|1|31.156
2021|54|93|6|99999|1|10.368
2021|54|93|7|99999|1|63.8
2021|54|95|7|99999|1|84.08
2021|54|97|6|99999|1|17.643
2021|54|97|7|99999|1|73.345
2021|54|99|7|99999|1|133.093
2021|54|101|7|99999|1|118.49
2021|54|103|6|99999|1|66.173
2021|54|103|7|99999|1|80.219
2021|54|105|7|99999|1|101.68
2021|54|107|6|99999|1|0.986
2021|54|107|7|99999|1|113.606
2021|54|109|6|99999|1|81.0
2021|54|109|7|99999|1|88.14
